381547,392805,389925
362504,366375,379640
399149,377751,379531
380156,394847,385949
380176,384824,372317
361537,360229,351214
333369,337112,334180
353646,349270,349863
381772,371943,365942
355065,353945,352403
355351,362718,356143
350169,344543,346629
366783,370078,370798
360396,355124,349302
359922,366548,366871
383472,382705,377130
343921,350738,345837
393127,390966,384922
346907,355072,340435
374607,377679,378398
351553,354740,337792
361342,358762,350250
346875,352453,355041
375046,372393,362644
342535,340738,336764
371214,374534,365945
360481,357482,364650
353138,359759,353386
343147,353323,357593
361996,363361,363967
380064,386139,379782
368749,378610,374209
353522,354304,338872
355477,357521,346249
377515,361310,363198
372112,379725,372713
364063,364868,370941
389159,375853,372182
377408,380227,380549
373172,372928,379739
351594,356724,343517
376349,370252,366836
382477,380532,376706
366183,364425,362906
366959,368978,361205
375881,381559,379925
390435,388309,377720
348853,346075,352263
364309,367100,368282
376411,386413,383859
