267617,269815,266183
254917,254337,251967
262128,261498,260752
264843,266243,265749
263948,265358,266400
251751,250752,250120
233835,232306,228823
244353,241870,238490
252243,255233,254535
240753,242183,239828
249105,246339,247233
242297,239689,238609
252983,253829,253033
245564,247548,247361
249053,251204,247583
267998,266314,270206
242861,242210,242036
268206,269924,271543
241824,241710,236180
261075,262259,260965
237509,239431,240252
246217,244355,240699
242406,242875,239758
253791,255756,255053
236867,236250,231700
258329,258333,256474
248581,247426,247878
245897,248041,249202
241504,243926,243976
249769,250852,250679
268848,267316,266741
259662,260481,260005
238537,240324,242201
242802,246377,246590
248349,250756,247656
262098,261036,259023
250806,249812,249039
262196,260571,262691
261038,263888,262076
255853,258466,254774
244033,243539,241602
255969,254819,255911
263105,264940,261741
252504,251904,251054
252924,254087,253890
262018,262768,260174
271933,266483,262705
241526,240081,242644
259124,255336,252974
264055,264973,266605
